,0,1,2,3,4,5,6,7,8,9,10
110,272.95,,,271.65,10.0,2.9,0.01,0.27,273.05,-0.7,1.0
111,272.95,,,271.65,10.0,2.9,0.01,0.27,273.05,-0.7,1.0
112,268.15,98.0,17.5,,,3.5,,,266.65,,0.0
113,271.15,98.0,,262.85,-8.8,3.5,0.0,,270.15,-2.6,0.0
114,263.85,95.0,6.7,262.85,-8.8,3.6,0.16,,266.65,0.9,0.0
115,266.85,95.0,,263.85,-7.8,3.6,0.0,,269.05,-2.25,0.0
116,269.75,94.0,7.0,263.85,1.0,3.8,0.2,,268.65,-1.85,0.0
117,271.45,94.0,,,,3.8,0.0,0.38,271.15,,0.0
118,269.75,94.0,,,,4.35,0.56,0.37,270.85,,1.0
119,269.75,94.0,,,,4.35,0.56,0.37,270.85,,1.0
120,269.75,94.0,,,,4.35,0.56,0.37,270.85,,1.0
121,269.75,94.0,,,,4.35,0.56,0.37,270.85,,1.0
122,269.75,94.0,,,,4.35,0.56,0.37,270.85,,1.0
123,269.75,94.0,,,,4.35,0.56,0.37,270.85,,1.0
124,269.75,94.0,,,,4.35,0.56,0.37,270.85,,1.0
125,,,,264.35,0.5,4.35,0.0,0.77,,,1.0
126,,,,264.35,0.5,4.35,0.0,0.77,,,1.0
127,,,,264.35,0.5,4.35,0.0,0.77,,,1.0
128,,,,264.35,0.5,4.35,0.0,0.77,,,1.0
129,,,,264.35,0.5,4.35,0.0,0.77,,,1.0
130,,,,264.35,0.5,4.35,0.0,0.77,,,1.0
131,,,,264.35,0.5,4.35,0.0,0.77,,,1.0
132,267.15,92.0,13.5,264.35,,4.65,0.3,1.06,267.25,0.05,0.0
133,268.95,94.0,,,,4.65,0.0,0.86,267.45,,0.0
134,270.65,,,,,4.35,0.01,0.31,272.95,,1.0
135,276.15,,,,,4.35,0.0,0.31,273.05,,1.0
136,,,0.0,,,4.35,0.0,0.01,269.35,,0.0
137,272.95,,,,,4.3,0.0,0.01,271.65,,0.0
138,271.45,,0.0,,,4.3,0.0,0.01,267.15,,0.0
139,275.75,,,,,4.3,0.0,0.0,270.65,,0.0
140,272.85,,0.0,,,4.3,0.0,0.0,270.65,,0.0
141,,,,,,4.3,0.0,0.0,273.05,,0.0
142,271.35,,0.0,,,4.25,0.0,0.0,272.15,,0.0
143,276.75,,,,,4.25,0.0,0.0,273.05,,0.0
144,269.75,67.0,0.0,,,4.25,0.0,0.0,269.45,,0.0
145,278.55,43.0,,267.45,,4.25,0.0,0.0,271.15,3.1,0.0
146,272.85,82.0,0.0,267.45,,4.25,0.0,0.0,273.05,1.2,0.0
147,266.25,59.0,3.2,266.05,-1.4,4.27,0.03,0.03,271.65,1.6,0.0
148,258.25,86.0,0.5,258.05,-9.4,4.3,0.03,0.06,263.95,4.25,0.0
149,265.05,60.0,,258.25,-9.2,4.3,0.0,0.06,268.15,-4.65,0.0
150,261.95,90.0,3.5,258.25,-7.8,4.6,0.35,0.36,265.65,-2.15,0.0
151,266.55,90.0,,260.95,-5.1,4.65,0.0,0.41,270.55,-6.5,0.0
152,263.05,90.0,3.6,260.95,2.7,4.75,0.15,0.53,264.95,-0.9,0.0
153,260.15,88.0,,259.35,-1.6,5.05,0.3,0.8,261.45,0.95,0.0
154,271.15,90.0,,259.85,-1.1,4.95,0.0,0.8,272.65,-5.75,0.0
155,261.05,82.0,0.0,259.85,-1.1,4.8,0.0,0.5,265.35,1.55,0.0
156,273.95,66.0,,,,4.75,0.0,0.45,271.85,,0.0
157,272.45,74.0,1.0,,,4.6,0.01,0.01,266.95,,0.0
158,280.65,40.0,,,,4.6,0.0,0.01,273.05,,0.0
159,,64.0,0.0,,,4.45,0.0,0.01,,,0.0
160,280.35,88.0,7.5,,,4.25,0.0,0.0,,,1.0
161,282.45,68.0,,,,4.25,0.0,0.0,,,1.0
162,,72.0,5.1,,,4.2,0.0,0.0,,,0.0
163,,70.0,,272.55,,4.15,0.0,0.0,,,0.0
164,272.95,70.0,10.5,272.55,,4.1,0.01,0.01,,,0.0
165,280.35,52.0,,269.45,,4.1,0.0,0.01,,,0.0
166,272.15,55.0,4.1,269.45,-3.1,4.15,0.06,0.07,,,0.0
167,271.15,65.0,,270.65,-1.9,4.15,0.0,0.07,,,0.0
168,276.45,66.0,0.0,270.65,1.2,4.15,0.0,0.07,,,0.0
169,277.15,65.0,,,,4.15,0.0,0.06,,,0.0
170,265.65,87.0,,264.55,,4.5,0.4,0.35,,,0.0
171,264.75,81.0,,,,4.55,0.0,0.4,,,0.0
172,271.85,70.0,,263.95,,4.65,0.2,0.6,,,0.0
173,271.05,77.0,0.0,263.95,,4.6,0.0,0.6,,,1.0
174,273.45,90.0,2.0,270.65,6.7,4.6,0.03,0.23,,,0.0
175,280.65,43.0,0.0,,,4.3,0.0,0.0,,,0.0
176,281.55,42.0,,270.95,0.3,4.3,0.0,0.0,,,0.0
177,275.35,73.0,5.0,270.95,0.3,4.3,0.01,0.01,,,0.0
178,278.75,55.0,0.0,270.75,-0.2,4.25,0.0,0.01,,,0.0
179,280.65,70.0,0.0,278.15,7.4,0.95,0.0,0.0,,,0.0
180,278.05,49.0,0.0,277.95,7.2,0.95,0.0,0.0,271.15,9.8,0.0
181,280.95,48.0,,277.35,6.6,0.95,0.0,0.0,271.15,8.8,0.0
182,278.95,51.0,0.0,277.35,-0.8,0.95,0.0,0.0,272.15,7.8,0.0
183,282.15,46.0,,276.95,-1.2,0.95,0.0,0.0,272.95,,0.0
184,280.35,62.0,0.0,276.95,-0.4,0.95,0.0,0.0,271.95,,0.0
185,279.15,60.0,,276.75,-0.6,0.95,0.0,0.0,272.95,5.6,0.0
186,277.35,55.0,0.0,276.75,-0.2,0.95,0.0,0.0,271.15,7.4,0.0
187,281.15,48.0,,273.65,-3.3,0.95,0.0,0.0,272.95,4.8,0.0
188,273.75,92.0,1.0,273.65,-3.1,0.95,0.0,0.0,272.65,5.1,0.0
189,271.45,93.0,,269.95,-3.7,1.0,0.12,0.05,270.25,2.1,0.0
190,273.15,90.0,,271.45,-2.2,1.07,0.0,0.12,271.95,1.55,0.0
191,275.15,99.0,8.0,271.45,-2.2,1.0,0.05,0.17,272.35,1.15,0.0
192,275.15,90.0,,273.25,-0.4,1.0,0.0,0.17,272.95,3.45,0.0
193,273.25,97.0,4.0,273.25,1.8,1.0,0.06,0.2,272.85,3.55,0.0
194,273.95,73.0,,269.25,-2.2,1.0,0.0,0.18,273.05,-1.2,0.0
195,270.15,69.0,0.1,269.25,-4.0,1.0,0.01,0.12,270.15,1.7,0.0
196,273.85,60.0,,269.95,-3.3,1.0,0.0,0.07,270.15,1.9,0.0
197,271.55,94.0,8.0,269.95,0.7,1.05,0.1,0.12,270.55,1.5,0.0
198,273.05,92.0,,268.05,-1.2,1.1,0.0,0.14,271.65,-0.75,0.0
199,270.35,87.0,9.0,268.05,-1.9,1.25,0.18,0.29,270.95,-0.05,0.0
200,272.25,94.0,10.0,267.15,-0.9,1.45,0.18,0.33,269.65,1.75,0.0
201,273.65,80.0,,,,1.48,0.0,0.36,271.85,,0.0
202,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
203,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
204,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
205,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
206,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
207,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
208,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
209,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
210,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
211,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
212,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
213,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
214,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
215,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
216,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
217,273.05,98.0,,270.35,,1.8,0.27,0.45,271.95,0.2,1.0
218,275.25,99.0,60.0,272.35,,1.7,0.12,0.57,271.95,2.0,0.0
219,275.15,99.0,,273.95,,1.7,0.0,0.57,272.95,2.25,0.0
220,273.95,99.0,18.0,273.95,3.6,1.55,0.0,0.39,272.95,2.25,0.0
221,278.75,44.0,,268.85,-1.5,1.55,0.0,0.39,272.95,1.45,0.0
222,269.85,94.0,,268.85,-5.1,1.45,0.06,0.18,272.25,2.15,0.0
223,268.35,87.0,,266.85,-2.0,1.9,0.05,0.11,269.95,-1.35,0.0
224,271.15,35.0,,266.45,-2.4,1.9,0.0,0.11,270.35,0.2,0.0
225,268.65,93.0,11.0,266.45,-2.4,1.85,0.07,0.15,269.15,1.4,0.0
226,270.75,83.0,,,,1.85,0.0,0.18,270.95,,0.0
227,273.15,94.0,5.0,270.65,,1.9,0.04,0.16,271.95,0.95,0.0
228,269.45,95.0,20.0,266.65,,2.15,0.3,0.41,269.45,1.0,0.0
229,269.95,95.0,4.0,265.65,-1.0,2.05,0.08,0.38,,,1.0
230,275.55,86.0,0.0,269.55,2.9,2.0,0.0,0.08,270.95,1.9,1.0
231,275.55,86.0,0.0,269.55,2.9,2.0,0.0,0.08,270.95,1.9,1.0
232,275.55,86.0,0.0,269.55,2.9,2.0,0.0,0.08,270.95,1.9,1.0
233,280.65,65.0,,269.15,2.5,1.98,0.0,0.08,272.85,2.5,1.0
234,280.65,65.0,,269.15,2.5,1.98,0.0,0.08,272.85,2.5,1.0
235,280.65,65.0,,269.15,2.5,1.98,0.0,0.08,272.85,2.5,1.0
236,269.35,95.0,10.0,269.15,3.5,2.05,0.14,0.17,271.85,3.5,0.0
237,274.55,55.0,,267.55,1.9,2.1,0.0,0.22,271.95,-0.55,0.0
238,273.25,95.0,3.0,267.55,-1.6,1.95,0.01,0.15,272.25,-0.85,0.0
239,272.25,99.0,10.0,267.55,0.0,1.85,0.0,0.15,268.75,2.65,0.0
240,273.25,,5.0,265.15,-2.4,2.35,0.1,0.1,268.95,0.25,1.0
241,273.25,,5.0,265.15,-2.4,2.35,0.1,0.1,268.95,0.25,1.0
242,275.35,90.0,0.4,265.15,-2.4,2.3,0.0,0.1,272.75,-1.85,0.0
243,278.95,81.0,0.0,273.25,8.1,2.23,0.0,0.1,273.05,3.15,0.0
244,273.25,95.0,10.0,273.25,8.1,2.05,0.03,0.13,273.05,4.85,0.0
245,271.75,92.0,1.0,268.15,-5.1,2.02,0.02,0.01,270.05,2.3,0.0
246,274.65,80.0,,270.35,-2.9,2.03,0.0,0.02,272.25,1.35,0.0
247,276.75,84.0,0.1,270.35,-2.9,2.0,0.01,0.03,270.55,3.05,0.0
248,269.45,92.0,25.0,269.25,-1.1,2.03,0.05,0.06,272.65,3.05,0.0
